cohort_month,Cohort Size,0,1,2,3,4,5,6,9,12
2024-10-01,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,21,0.4457142857142857,2.8642857142857143,2.8642857142857143,2.8642857142857143,2.8642857142857143,2.8642857142857143,2.8642857142857143,2.8642857142857143,2.8642857142857143
2024-12-01,6149,222.32195316311595,226.71730037404456,226.71730037404456,226.71730037404456,226.71730037404456,226.71730037404456,226.71730037404456,226.71730037404456,226.71730037404456
2025-01-01,15359,249.96775376001042,298.7619272088026,327.1032124487271,345.55677843609607,360.9104590142587,372.9195696334396,382.0535972394036,405.49497232892764,439.7417260238296
2025-02-01,13862,279.95953181359107,325.2580024527485,352.8537368345116,367.11823257827155,379.9056701774636,389.87204010965235,400.2774830471794,425.5162992353196,445.21629923531964
2025-03-01,16518,260.38180409250515,305.9806296161763,329.82746337328973,347.7643740162247,360.80667635306935,370.6839235984986,378.35541530451627,402.78840840295436,421.0002542680712
2025-04-01,16795,244.71308127418877,295.62398630544806,320.0622179220006,341.6176683536767,359.1684721643346,371.427745757666,384.076872878833,414.99910270913966,435.04047990473356
2025-05-01,17694,224.71722617836556,269.8787312083192,298.1018802984063,315.44792019893754,337.0473895105686,351.7797355035606,364.418848197129,420.096192494631,442.0909200859048
2025-06-01,15832,249.55152602324404,298.3266940373926,329.5261097776655,345.5432743810005,362.46510864072764,372.44308236483073,383.1355248863062,402.89466460333495,417.8956568974229
2025-07-01,15024,238.54694888178912,292.52282814164005,317.1146545527156,333.46818224174655,345.89155551118205,389.19535543130985,397.072423455804,414.4041420394036,424.200975772098
2025-08-01,12558,240.82507803790412,289.01556378404206,311.4607326007326,327.49412008281575,344.00485188724315,355.1340691192865,363.55196129956994,389.9185228539576,401.33642777512335
2025-09-01,10637,237.51634577418446,285.33966249882485,318.00583341167624,341.5275951866128,358.57821472219615,371.496147409984,386.00612766757547,417.0583773620382,421.73991256933346
2025-10-01,13115,272.20210064811283,334.57035226839497,362.38531986275257,387.684511627907,403.83180480365996,417.0428882958445,429.81234845596646,455.21812886008394,455.21812886008394
2025-11-01,11998,286.48650108351393,341.34520670111687,370.7925112518753,390.343502250375,408.30655692615437,425.85647691281883,448.56860476746135,463.53326471078526,463.53326471078526
2025-12-01,11772,282.62641267414205,329.48680088345225,352.0465995582739,376.17178814135235,391.01116632687734,402.514958375807,411.05811586816174,414.52101342167856,414.52101342167856
2026-01-01,10030,323.14359521435694,372.3045144566301,397.48996709870386,415.3764835493519,427.59274476570283,439.58167397806574,443.79270588235295,443.79270588235295,443.79270588235295
2026-02-01,10997,259.6577239247068,301.0087769391653,320.8814694916796,339.2227216513595,347.8178275893426,353.18807220150956,353.18807220150956,353.18807220150956,353.18807220150956
2026-03-01,10671,298.7881192015744,350.52799737606597,377.0702577078062,396.38443819698244,405.61665073563864,405.61665073563864,405.61665073563864,405.61665073563864,405.61665073563864
2026-04-01,9205,309.6076730038023,377.0288582292232,414.5522542096686,433.1524280282455,433.1524280282455,433.1524280282455,433.1524280282455,433.1524280282455,433.1524280282455
2026-05-01,8321,300.90437928133633,340.4383812041822,352.1058995313063,352.1058995313063,352.1058995313063,352.1058995313063,352.1058995313063,352.1058995313063,352.1058995313063
2026-06-01,6865,260.43663219227966,284.34437727603785,284.34437727603785,284.34437727603785,284.34437727603785,284.34437727603785,284.34437727603785,284.34437727603785,284.34437727603785
2026-07-01,3426,232.6802014010508,232.6802014010508,232.6802014010508,232.6802014010508,232.6802014010508,232.6802014010508,232.6802014010508,232.6802014010508,232.6802014010508
