
Image Name                     PID Session Name        Session#    Mem Usage
SearchApp.exe                 4592 Console                    2        564 K
RuntimeBroker.exe            13036 Console                    2      3 152 K
ctfmon.exe                    2276 Console                    2     13 208 K
verge-mihomo.exe             14208 Services                   0     75 772 K
conhost.exe                    820 Services                   0      1 164 K
TextInputHost.exe            15072 Console                    2     52 116 K
SecurityHealthSystray.exe    17572 Console                    2      2 008 K
RtkAudUService64.exe         15968 Console                    2      2 736 K
Everything.exe               15476 Console                    2    183 404 K
OneDrive.exe                  7076 Console                    2     21 584 K
YandexDisk2.exe               6952 Console                    2    370 484 K
msedgewebview2.exe           10360 Console                    2     27 036 K
RadeonSoftware.exe           10456 Console                    2     25 156 K
ShellExperienceHost.exe      11020 Console                    2     44 148 K
RuntimeBroker.exe            11284 Console                    2     18 548 K
msedgewebview2.exe            7388 Console                    2      1 568 K
atieclxx.exe                 19208 Console                    2      5 728 K
NButilps.exe                  9632 Console                    2      1 308 K
CPUMetricsServer.exe         18588 Console                    2      1 204 K
msedgewebview2.exe            1296 Console                    2     25 808 K
msedgewebview2.exe            1356 Console                    2     12 640 K
msedgewebview2.exe           18956 Console                    2      3 964 K
msedgewebview2.exe           13464 Console                    2    160 544 K
AppleMobileDeviceLauncher     9588 Console                    2      2 100 K
HotKeyOSD.exe                 8824 Console                    2      4 624 K
cncmd.exe                    17776 Console                    2        192 K
cmd.exe                       2864 Console                    2        688 K
conhost.exe                   8284 Console                    2        500 K
AMDRSServ.exe                13740 Console                    2      4 864 K
AppleMobileDeviceProcess.     1268 Console                    2      1 952 K
unsecapp.exe                 15668 Console                    2      1 920 K
svchost.exe                  18052 Console                    2      2 688 K
CompPkgSrv.exe                9036 Console                    2      2 572 K
AMDRSSrcExt.exe               7956 Console                    2      4 728 K
LockApp.exe                  11988 Console                    2     14 492 K
RuntimeBroker.exe            15080 Console                    2      5 964 K
M365Copilot.exe              20064 Console                    2     14 484 K
RuntimeBroker.exe             9480 Console                    2      2 016 K
msedgewebview2.exe            1548 Console                    2     14 668 K
msedgewebview2.exe            8684 Console                    2      1 612 K
msedgewebview2.exe           19020 Console                    2      6 168 K
msedgewebview2.exe            1664 Console                    2      4 804 K
svchost.exe                   2412 Services                   0      2 180 K
msedgewebview2.exe           19428 Console                    2      1 164 K
dllhost.exe                   7828 Console                    2      4 704 K
RuntimeBroker.exe             8388 Console                    2      8 572 K
FileCoAuth.exe                3208 Console                    2     12 684 K
svchost.exe                  13236 Console                    2      6 568 K
Telegram.exe                 15000 Console                    2    432 600 K
MoUsoCoreWorker.exe          13640 Services                   0        944 K
svchost.exe                  13580 Services                   0      6 492 K
kontur.autodiag.center.ex     7756 Console                    2      2 036 K
kontur.autodiag.service.e    21276 Services                   0      1 644 K
SearchApp.exe                 8352 Console                    2      4 212 K
msedgewebview2.exe            8632 Console                    2      2 048 K
svchost.exe                  27436 Services                   0      6 284 K
audiodg.exe                  14492 Services                   0     17 152 K
Antigravity.exe               8396 Console                    2     55 528 K
Antigravity.exe              11244 Console                    2    142 032 K
Antigravity.exe              24152 Console                    2     12 904 K
Antigravity.exe               9004 Console                    2    524 868 K
Antigravity.exe              10988 Console                    2      5 672 K
Antigravity.exe              11976 Console                    2      8 296 K
language_server.exe          17380 Console                    2  2 979 232 K
conhost.exe                  24296 Console                    2      6 276 K
svchost.exe                   7404 Services                   0        852 K
msedgewebview2.exe           29520 Console                    2     13 900 K
QtWebEngineProcess.exe       11008 Console                    2      7 764 K
Antigravity.exe               4076 Console                    2      8 620 K
browser.exe                  23824 Console                    2    360 540 K
browser.exe                  22424 Console                    2      1 644 K
browser.exe                  27408 Console                    2     25 260 K
browser.exe                  11096 Console                    2      9 456 K
browser.exe                  11896 Console                    2     17 428 K
browser.exe                  29672 Console                    2     16 512 K
browser.exe                  29172 Console                    2     18 324 K
browser.exe                  15224 Console                    2      3 640 K
browser.exe                   1628 Console                    2     29 328 K
browser.exe                  14020 Console                    2     11 880 K
msedgewebview2.exe           14508 Console                    2      4 820 K
msedgewebview2.exe           30188 Console                    2         20 K
msedgewebview2.exe           26500 Console                    2     15 736 K
msedgewebview2.exe           23392 Console                    2        144 K
msedgewebview2.exe            2252 Console                    2      8 296 K
msedgewebview2.exe           30048 Console                    2      6 656 K
browser.exe                  18896 Console                    2      3 408 K
browser.exe                   9592 Console                    2    181 784 K
powershell.exe                7648 Console                    2      1 708 K
wsl.exe                      14252 Console                    2        120 K
wsl.exe                      21808 Console                    2        304 K
vmwp.exe                     26928 Services                   0      5 112 K
vmmem                        28556 Services                   0    708 764 K
dllhost.exe                  15624 Console                    2      2 516 K
dllhost.exe                   8664 Console                    2        672 K
wslrelay.exe                 25896 Console                    2      2 052 K
wslhost.exe                  24164 Console                    2        416 K
conhost.exe                  17952 Console                    2        688 K
wslhost.exe                  16580 Console                    2        400 K
wslhost.exe                  16684 Console                    2        388 K
conhost.exe                  25256 Console                    2        688 K
conhost.exe                  29972 Console                    2        688 K
msrdc.exe                    17432 Console                    2     12 328 K
powershell.exe               27852 Console                    2      1 976 K
com.docker.backend.exe       15592 Console                    2     21 724 K
com.docker.backend.exe       16068 Console                    2    105 804 K
com.docker.build.exe          4664 Console                    2     11 248 K
Docker Desktop.exe           23408 Console                    2     59 840 K
wsl.exe                      21584 Console                    2         72 K
wsl.exe                      12680 Console                    2        136 K
wsl.exe                      19912 Console                    2      4 976 K
wsl.exe                      28820 Console                    2      9 604 K
wslhost.exe                  25536 Console                    2        588 K
wslhost.exe                   1916 Console                    2        460 K
conhost.exe                   2180 Console                    2        724 K
conhost.exe                  12376 Console                    2        720 K
Docker Desktop.exe           27724 Console                    2     50 724 K
Docker Desktop.exe           14080 Console                    2      2 524 K
Docker Desktop.exe           14732 Console                    2      1 456 K
Docker Desktop.exe            1280 Console                    2     76 904 K
docker-sandbox.exe            1540 Console                    2        772 K
ApplicationFrameHost.exe      1284 Console                    2     10 968 K
svchost.exe                  25560 Services                   0      8 180 K
browser.exe                  32720 Console                    2     22 364 K
SearchProtocolHost.exe       34472 Services                   0     11 612 K
WmiPrvSE.exe                 14552 Services                   0     14 920 K
OneDrive.Sync.Service.exe    35460 Console                    2      5 800 K
svchost.exe                  34344 Services                   0      7 740 K
browser.exe                  32256 Console                    2    126 420 K
SearchFilterHost.exe         35440 Services                   0      9 244 K
svchost.exe                  35004 Services                   0      8 272 K
backgroundTaskHost.exe       31392 Console                    2     17 848 K
RuntimeBroker.exe            30396 Console                    2     13 408 K
browser.exe                  35524 Console                    2     19 816 K
pacjsworker.exe              33308 Services                   0      8 932 K
smartscreen.exe              34000 Console                    2     25 504 K
powershell.exe                8564 Console                    2     68 140 K
node.exe                     18652 Console                    2     62 264 K
cmd.exe                      25624 Console                    2      5 108 K
node.exe                     32472 Console                    2     43 336 K
cmd.exe                      33956 Console                    2      5 108 K
node.exe                     34584 Console                    2     61 484 K
cmd.exe                      22212 Console                    2      5 240 K
node.exe                     34412 Console                    2     59 100 K
node.exe                      7876 Console                    2  1 760 608 K
powershell.exe               33812 Console                    2     68 428 K
powershell.exe               33736 Console                    2     68 316 K
node.exe                     31860 Console                    2     53 384 K
node.exe                     34396 Console                    2     65 928 K
cmd.exe                      24504 Console                    2      5 148 K
node.exe                     16660 Console                    2     78 688 K
node.exe                     26408 Console                    2    104 128 K
cmd.exe                      34080 Console                    2      5 104 K
node.exe                     34360 Console                    2     48 612 K
cmd.exe                      18192 Console                    2      5 108 K
node.exe                     28596 Console                    2     67 232 K
node.exe                     17604 Console                    2    689 352 K
